STN_NM,TM,SUM_RN
Gangneung,2013-02-01,0.0
Gangneung,2013-03-01,72.6
Gangneung,2013-04-01,35.4
Gangneung,2013-05-01,19.4
Gangneung,2013-06-01,63.5
Gangneung,2013-07-01,113.9
Gangneung,2013-08-01,156.5
Gangneung,2013-09-01,208.0
Gangneung,2013-10-01,242.7
Gangneung,2013-11-01,156.0
Gangneung,2013-12-01,55.4
Gangneung,2014-01-01,38.9
Gangneung,2014-02-01,59.2
Gangneung,2014-03-01,25.2
Gangneung,2014-04-01,68.2
Gangneung,2014-05-01,100.0
Gangneung,2014-06-01,122.9
Gangneung,2014-07-01,168.8
Gangneung,2014-08-01,134.6
Gangneung,2014-09-01,265.2
Gangneung,2014-10-01,230.9
Gangneung,2014-11-01,202.9
Gangneung,2014-12-01,52.9
Gangneung,2015-01-01,67.1
Gangneung,2015-02-01,45.0
Gangneung,2015-03-01,28.2
Gangneung,2015-04-01,115.3
Gangneung,2015-05-01,76.1
Gangneung,2015-06-01,96.0
Gangneung,2015-07-01,143.5
Gangneung,2015-08-01,190.1
Gangneung,2015-09-01,220.5
Gangneung,2015-10-01,276.1
Gangneung,2015-11-01,191.5
Gangneung,2015-12-01,124.9
Gangneung,2016-01-01,109.5
Gangneung,2016-02-01,20.8
Gangneung,2016-03-01,0.0
Gangneung,2016-04-01,16.1
Gangneung,2016-05-01,90.6
Gangneung,2016-06-01,117.6
Gangneung,2016-07-01,90.7
Gangneung,2016-08-01,172.6
Gangneung,2016-09-01,215.0
Gangneung,2016-10-01,132.8
Gangneung,2016-11-01,171.3
Gangneung,2016-12-01,94.1
Gangneung,2017-01-01,26.4
Gangneung,2017-02-01,0.0
Gangneung,2017-03-01,0.0
Gangneung,2017-04-01,88.4
Gangneung,2017-05-01,3.9
Gangneung,2017-06-01,78.6
Gangneung,2017-07-01,179.0
Gangneung,2017-08-01,223.7
Gangneung,2017-09-01,199.4
Gangneung,2017-10-01,210.5
Gangneung,2017-11-01,201.3
Gangneung,2017-12-01,120.1
Gangneung,2018-01-01,15.5
Gangneung,2018-02-01,58.0
Gangneung,2018-03-01,0.0
Gangneung,2018-04-01,52.6
Gangneung,2018-05-01,60.9
Gangneung,2018-06-01,69.5
Gangneung,2018-07-01,189.2
Gangneung,2018-08-01,224.2
Gangneung,2018-09-01,191.6
Gangneung,2018-10-01,187.7
Gangneung,2018-11-01,168.8
Gangneung,2018-12-01,102.2
Gangneung,2019-01-01,42.7
Gangneung,2019-02-01,53.3
Gangneung,2019-03-01,63.2
Gangneung,2019-04-01,34.0
Gangneung,2019-05-01,67.6
Gangneung,2019-06-01,49.5
Gangneung,2019-07-01,151.7
Gangneung,2019-08-01,197.3
Gangneung,2019-09-01,217.7
Gangneung,2019-10-01,160.2
Gangneung,2019-11-01,140.3
Gangneung,2019-12-01,73.1
Gangneung,2020-01-01,94.6
Gangneung,2020-02-01,0.0
Gangneung,2020-03-01,32.2
Gangneung,2020-04-01,64.7
Gangneung,2020-05-01,49.7
Gangneung,2020-06-01,127.3
Gangneung,2020-07-01,180.1
Gangneung,2020-08-01,199.7
Gangneung,2020-09-01,175.6
Gangneung,2020-10-01,120.2
Gangneung,2020-11-01,213.8
Gangneung,2020-12-01,29.1
Gangneung,2021-01-01,45.5
Gangneung,2021-02-01,0.0
Gangneung,2021-03-01,0.0
Gangneung,2021-04-01,79.7
Gangneung,2021-05-01,106.7
Gangneung,2021-06-01,81.0
Gangneung,2021-07-01,253.1
Gangneung,2021-08-01,199.9
Gangneung,2021-09-01,182.4
Gangneung,2021-10-01,198.0
Gangneung,2021-11-01,158.0
Gangneung,2021-12-01,191.9
Gangneung,2022-01-01,99.2
Gangneung,2022-02-01,11.7
Gangneung,2022-03-01,43.4
Gangneung,2022-04-01,68.8
Gangneung,2022-05-01,50.0
Gangneung,2022-06-01,101.2
Gangneung,2022-07-01,129.0
Gangneung,2022-08-01,210.1
Gangneung,2022-09-01,244.3
Gangneung,2022-10-01,168.0
Gangneung,2022-11-01,130.6
Gangneung,2022-12-01,90.7
Gangneung,2023-01-01,61.6
Gangneung,2023-02-01,74.5
Gangneung,2023-03-01,14.0
Gangneung,2023-04-01,11.7
Gangneung,2023-05-01,71.2
Gangneung,2023-06-01,127.3
Gangneung,2023-07-01,166.9
Gangneung,2023-08-01,230.2
Gangneung,2023-09-01,203.3
Gangneung,2023-10-01,199.1
Gangneung,2023-11-01,149.0
Gangneung,2023-12-01,100.4
Gangneung,2024-01-01,107.6
Gangneung,2024-02-01,0.0
Gangneung,2024-03-01,0.0
Gangneung,2024-04-01,124.4
Gangneung,2024-05-01,70.3
Gangneung,2024-06-01,138.1
Gangneung,2024-07-01,165.8
Gangneung,2024-08-01,178.0
Gangneung,2024-09-01,205.4
Gangneung,2024-10-01,193.0
Gangneung,2024-11-01,125.4
Gangneung,2024-12-01,169.6
Gangneung,2025-01-01,23.0
Gangneung,2025-02-01,0.0
Gangneung,2025-03-01,30.1
Gangneung,2025-04-01,0.0
Gangneung,2025-05-01,68.4
Gangneung,2025-06-01,182.6
Gangneung,2025-07-01,193.4
Gangneung,2025-08-01,100.9
Gangneung,2025-09-01,217.5
Gangneung,2025-10-01,161.1
Gangneung,2025-11-01,106.0
Gangneung,2025-12-01,125.6
Seoul,2001-01-01,55.9
Seoul,2001-02-01,9.9
Seoul,2001-03-01,7.8
Seoul,2001-04-01,16.9
Seoul,2001-05-01,72.0
Seoul,2001-06-01,136.0
Seoul,2001-07-01,153.4
Seoul,2001-08-01,161.4
Seoul,2001-09-01,214.1
Seoul,2001-10-01,171.3
Seoul,2001-11-01,192.4
Seoul,2001-12-01,79.3
Seoul,2002-01-01,73.1
Seoul,2002-02-01,62.9
Seoul,2002-03-01,43.5
Seoul,2002-04-01,0.0
Seoul,2002-05-01,84.5
Seoul,2002-06-01,91.8
Seoul,2002-07-01,178.4
Seoul,2002-08-01,139.6
Seoul,2002-09-01,166.1
Seoul,2002-10-01,238.3
Seoul,2002-11-01,154.5
Seoul,2002-12-01,135.3
Seoul,2003-01-01,50.8
Seoul,2003-02-01,67.2
Seoul,2003-03-01,33.0
Seoul,2003-04-01,70.5
Seoul,2003-05-01,127.9
Seoul,2003-06-01,105.8
Seoul,2003-07-01,212.2
Seoul,2003-08-01,220.7
Seoul,2003-09-01,248.2
Seoul,2003-10-01,206.1
Seoul,2003-11-01,193.8
Seoul,2003-12-01,105.1
Seoul,2004-01-01,98.9
Seoul,2004-02-01,8.5
Seoul,2004-03-01,31.5
Seoul,2004-04-01,0.0
Seoul,2004-05-01,137.2
Seoul,2004-06-01,91.2
Seoul,2004-07-01,141.5
Seoul,2004-08-01,205.8
Seoul,2004-09-01,251.3
Seoul,2004-10-01,189.3
Seoul,2004-11-01,168.7
Seoul,2004-12-01,186.9
Seoul,2005-01-01,25.5
Seoul,2005-02-01,75.1
Seoul,2005-03-01,58.1
Seoul,2005-04-01,26.9
Seoul,2005-05-01,93.8
Seoul,2005-06-01,97.1
Seoul,2005-07-01,141.0
Seoul,2005-08-01,255.9
Seoul,2005-09-01,220.2
Seoul,2005-10-01,175.3
Seoul,2005-11-01,191.6
Seoul,2005-12-01,144.4
Seoul,2006-01-01,24.7
Seoul,2006-02-01,17.6
Seoul,2006-03-01,72.9
Seoul,2006-04-01,35.4
Seoul,2006-05-01,62.2
Seoul,2006-06-01,141.1
Seoul,2006-07-01,119.4
Seoul,2006-08-01,203.1
Seoul,2006-09-01,214.2
Seoul,2006-10-01,206.1
Seoul,2006-11-01,169.3
Seoul,2006-12-01,166.3
Seoul,2007-01-01,28.6
Seoul,2007-02-01,27.0
Seoul,2007-03-01,33.8
Seoul,2007-04-01,45.4
Seoul,2007-05-01,54.9
Seoul,2007-06-01,164.5
Seoul,2007-07-01,104.0
Seoul,2007-08-01,227.5
Seoul,2007-09-01,148.0
Seoul,2007-10-01,184.0
Seoul,2007-11-01,164.8
Seoul,2007-12-01,133.1
Seoul,2008-01-01,61.0
Seoul,2008-02-01,0.0
Seoul,2008-03-01,18.1
Seoul,2008-04-01,8.3
Seoul,2008-05-01,85.3
Seoul,2008-06-01,138.7
Seoul,2008-07-01,176.9
Seoul,2008-08-01,175.9
Seoul,2008-09-01,225.2
Seoul,2008-10-01,148.9
Seoul,2008-11-01,180.3
Seoul,2008-12-01,92.6
Seoul,2009-01-01,123.3
Seoul,2009-02-01,34.8
Seoul,2009-03-01,2.0
Seoul,2009-04-01,15.1
Seoul,2009-05-01,97.6
Seoul,2009-06-01,160.9
Seoul,2009-07-01,143.8
Seoul,2009-08-01,171.9
Seoul,2009-09-01,202.8
Seoul,2009-10-01,195.4
Seoul,2009-11-01,142.2
Seoul,2009-12-01,112.8
Seoul,2010-01-01,92.1
Seoul,2010-02-01,33.4
Seoul,2010-03-01,10.2
Seoul,2010-04-01,21.3
Seoul,2010-05-01,86.8
Seoul,2010-06-01,170.4
Seoul,2010-07-01,141.8
Seoul,2010-08-01,193.8
Seoul,2010-09-01,178.7
Seoul,2010-10-01,271.1
Seoul,2010-11-01,213.3
Seoul,2010-12-01,83.2
Seoul,2011-01-01,83.3
Seoul,2011-02-01,23.9
Seoul,2011-03-01,0.0
Seoul,2011-04-01,67.8
Seoul,2011-05-01,88.2
Seoul,2011-06-01,187.3
Seoul,2011-07-01,174.4
Seoul,2011-08-01,218.8
Seoul,2011-09-01,253.1
Seoul,2011-10-01,213.3
Seoul,2011-11-01,158.1
Seoul,2011-12-01,95.2
Seoul,2012-01-01,48.4
Seoul,2012-02-01,109.9
Seoul,2012-03-01,5.0
Seoul,2012-04-01,53.2
Seoul,2012-05-01,55.0
Seoul,2012-06-01,40.1
Seoul,2012-07-01,153.8
Seoul,2012-08-01,195.0
Seoul,2012-09-01,209.4
Seoul,2012-10-01,222.7
Seoul,2012-11-01,150.2
Seoul,2012-12-01,127.6
Seoul,2013-01-01,82.4
Seoul,2013-02-01,0.0
Seoul,2013-03-01,52.6
Seoul,2013-04-01,37.4
Seoul,2013-05-01,62.1
Seoul,2013-06-01,108.0
Seoul,2013-07-01,148.4
Seoul,2013-08-01,164.5
Seoul,2013-09-01,138.7
Seoul,2013-10-01,166.0
Seoul,2013-11-01,160.9
Seoul,2013-12-01,77.4
Seoul,2014-01-01,84.3
Seoul,2014-02-01,37.5
Seoul,2014-03-01,80.8
Seoul,2014-04-01,40.9
Seoul,2014-05-01,84.2
Seoul,2014-06-01,135.4
Seoul,2014-07-01,196.9
Seoul,2014-08-01,207.9
Seoul,2014-09-01,272.1
Seoul,2014-10-01,214.9
Seoul,2014-11-01,124.5
Seoul,2014-12-01,89.8
Seoul,2015-01-01,68.6
Seoul,2015-02-01,67.7
Seoul,2015-03-01,70.2
Seoul,2015-04-01,11.9
Seoul,2015-05-01,84.1
Seoul,2015-06-01,139.1
Seoul,2015-07-01,223.8
Seoul,2015-08-01,240.8
Seoul,2015-09-01,213.9
Seoul,2015-10-01,210.1
Seoul,2015-11-01,145.2
Seoul,2015-12-01,131.9
Seoul,2016-01-01,96.5
Seoul,2016-02-01,0.0
Seoul,2016-03-01,0.0
Seoul,2016-04-01,20.6
Seoul,2016-05-01,77.6
Seoul,2016-06-01,145.5
Seoul,2016-07-01,110.0
Seoul,2016-08-01,199.8
Seoul,2016-09-01,205.8
Seoul,2016-10-01,170.8
Seoul,2016-11-01,130.1
Seoul,2016-12-01,134.4
Seoul,2017-01-01,41.6
Seoul,2017-02-01,110.4
Seoul,2017-03-01,65.9
Seoul,2017-04-01,0.0
Seoul,2017-05-01,58.0
Seoul,2017-06-01,113.4
Seoul,2017-07-01,205.8
Seoul,2017-08-01,178.5
Seoul,2017-09-01,198.4
Seoul,2017-10-01,150.9
Seoul,2017-11-01,181.5
Seoul,2017-12-01,127.2
Seoul,2018-01-01,83.8
Seoul,2018-02-01,21.8
Seoul,2018-03-01,59.5
Seoul,2018-04-01,0.0
Seoul,2018-05-01,45.9
Seoul,2018-06-01,111.4
Seoul,2018-07-01,156.8
Seoul,2018-08-01,193.5
Seoul,2018-09-01,214.0
Seoul,2018-10-01,196.5
Seoul,2018-11-01,194.3
Seoul,2018-12-01,116.1
Seoul,2019-01-01,23.7
Seoul,2019-02-01,74.5
Seoul,2019-03-01,71.4
Seoul,2019-04-01,42.9
Seoul,2019-05-01,38.0
Seoul,2019-06-01,223.9
Seoul,2019-07-01,186.5
Seoul,2019-08-01,159.7
Seoul,2019-09-01,198.7
Seoul,2019-10-01,215.0
Seoul,2019-11-01,238.1
Seoul,2019-12-01,147.8
Seoul,2020-01-01,131.3
Seoul,2020-02-01,54.1
Seoul,2020-03-01,2.3
Seoul,2020-04-01,1.9
Seoul,2020-05-01,83.4
Seoul,2020-06-01,153.6
Seoul,2020-07-01,183.7
Seoul,2020-08-01,178.4
Seoul,2020-09-01,224.6
Seoul,2020-10-01,205.5
Seoul,2020-11-01,201.2
Seoul,2020-12-01,186.3
Seoul,2021-01-01,69.2
Seoul,2021-02-01,13.3
Seoul,2021-03-01,0.0
Seoul,2021-04-01,0.0
Seoul,2021-05-01,52.8
Seoul,2021-06-01,112.8
Seoul,2021-07-01,128.5
Seoul,2021-08-01,226.7
Seoul,2021-09-01,275.5
Seoul,2021-10-01,164.1
Seoul,2021-11-01,183.1
Seoul,2021-12-01,119.6
Seoul,2022-01-01,64.2
Seoul,2022-02-01,0.0
Seoul,2022-03-01,0.0
Seoul,2022-04-01,8.5
Seoul,2022-05-01,70.0
Seoul,2022-06-01,140.1
Seoul,2022-07-01,186.1
Seoul,2022-08-01,216.9
Seoul,2022-09-01,159.3
Seoul,2022-10-01,253.8
Seoul,2022-11-01,199.2
Seoul,2022-12-01,141.1
Seoul,2023-01-01,47.6
Seoul,2023-02-01,59.9
Seoul,2023-03-01,0.0
Seoul,2023-04-01,60.9
Seoul,2023-05-01,98.7
Seoul,2023-06-01,109.7
Seoul,2023-07-01,167.5
Seoul,2023-08-01,188.0
Seoul,2023-09-01,204.6
Seoul,2023-10-01,222.2
Seoul,2023-11-01,179.9
Seoul,2023-12-01,119.6
Seoul,2024-01-01,119.5
Seoul,2024-02-01,57.2
Seoul,2024-03-01,63.1
Seoul,2024-04-01,15.9
Seoul,2024-05-01,69.6
Seoul,2024-06-01,77.6
Seoul,2024-07-01,151.0
Seoul,2024-08-01,225.8
Seoul,2024-09-01,234.0
Seoul,2024-10-01,206.4
Seoul,2024-11-01,173.6
Seoul,2024-12-01,118.6
Seoul,2025-01-01,94.2
Seoul,2025-02-01,0.4
Seoul,2025-03-01,30.2
Seoul,2025-04-01,34.9
Seoul,2025-05-01,141.4
Seoul,2025-06-01,113.3
Seoul,2025-07-01,186.6
Seoul,2025-08-01,296.1
Seoul,2025-09-01,205.5
Seoul,2025-10-01,224.5
Seoul,2025-11-01,103.2
Seoul,2025-12-01,174.8
Incheon,2001-01-01,70.5
Incheon,2001-02-01,35.5
Incheon,2001-03-01,38.5
Incheon,2001-04-01,73.0
Incheon,2001-05-01,104.2
Incheon,2001-06-01,119.9
Incheon,2001-07-01,222.9
Incheon,2001-08-01,160.2
Incheon,2001-09-01,178.1
Incheon,2001-10-01,189.0
Incheon,2001-11-01,132.1
Incheon,2001-12-01,196.8
Incheon,2002-01-01,140.9
Incheon,2002-02-01,77.7
Incheon,2002-03-01,75.7
Incheon,2002-04-01,25.8
Incheon,2002-05-01,122.5
Incheon,2002-06-01,120.2
Incheon,2002-07-01,100.4
Incheon,2002-08-01,149.1
Incheon,2002-09-01,243.4
Incheon,2002-10-01,180.4
Incheon,2002-11-01,180.5
Incheon,2002-12-01,154.7
Incheon,2003-01-01,75.3
Incheon,2003-02-01,69.4
Incheon,2003-03-01,30.8
Incheon,2003-04-01,37.2
Incheon,2003-05-01,131.8
Incheon,2003-06-01,132.7
Incheon,2003-07-01,174.3
Incheon,2003-08-01,203.0
Incheon,2003-09-01,229.9
Incheon,2003-10-01,167.2
Incheon,2003-11-01,207.2
Incheon,2003-12-01,186.6
Incheon,2004-01-01,87.3
Incheon,2004-02-01,0.0
Incheon,2004-03-01,0.0
Incheon,2004-04-01,97.2
Incheon,2004-05-01,59.2
Incheon,2004-06-01,101.9
Incheon,2004-07-01,190.4
Incheon,2004-08-01,274.3
Incheon,2004-09-01,213.7
Incheon,2004-10-01,151.4
Incheon,2004-11-01,170.8
Incheon,2004-12-01,136.9
Incheon,2005-01-01,78.7
Incheon,2005-02-01,42.0
Incheon,2005-03-01,32.7
Incheon,2005-04-01,0.0
Incheon,2005-05-01,100.7
Incheon,2005-06-01,129.1
Incheon,2005-07-01,178.2
Incheon,2005-08-01,139.8
Incheon,2005-09-01,227.3
Incheon,2005-10-01,156.5
Incheon,2005-11-01,157.3
Incheon,2005-12-01,102.0
Incheon,2006-01-01,121.7
Incheon,2006-02-01,26.7
Incheon,2006-03-01,25.0
Incheon,2006-04-01,21.4
Incheon,2006-05-01,102.7
Incheon,2006-06-01,183.9
Incheon,2006-07-01,147.7
Incheon,2006-08-01,210.0
Incheon,2006-09-01,199.2
Incheon,2006-10-01,222.1
Incheon,2006-11-01,147.3
Incheon,2006-12-01,194.7
Incheon,2007-01-01,63.5
Incheon,2007-02-01,64.6
Incheon,2007-03-01,86.5
Incheon,2007-04-01,15.4
Incheon,2007-05-01,28.6
Incheon,2007-06-01,77.1
Incheon,2007-07-01,224.3
Incheon,2007-08-01,228.3
Incheon,2007-09-01,268.4
Incheon,2007-10-01,198.0
Incheon,2007-11-01,226.3
Incheon,2007-12-01,99.7
Incheon,2008-01-01,98.9
Incheon,2008-02-01,5.1
Incheon,2008-03-01,67.1
Incheon,2008-04-01,2.9
Incheon,2008-05-01,75.4
Incheon,2008-06-01,79.8
Incheon,2008-07-01,175.2
Incheon,2008-08-01,202.5
Incheon,2008-09-01,206.8
Incheon,2008-10-01,240.2
Incheon,2008-11-01,146.8
Incheon,2008-12-01,149.0
Incheon,2009-01-01,70.5
Incheon,2009-02-01,46.8
Incheon,2009-03-01,10.4
Incheon,2009-04-01,76.0
Incheon,2009-05-01,69.8
Incheon,2009-06-01,84.1
Incheon,2009-07-01,156.9
Incheon,2009-08-01,197.6
Incheon,2009-09-01,194.8
Incheon,2009-10-01,193.2
Incheon,2009-11-01,151.5
Incheon,2009-12-01,127.7
Incheon,2010-01-01,2.2
Incheon,2010-02-01,61.0
Incheon,2010-03-01,51.9
Incheon,2010-04-01,29.9
Incheon,2010-05-01,72.8
Incheon,2010-06-01,154.1
Incheon,2010-07-01,192.4
Incheon,2010-08-01,248.1
Incheon,2010-09-01,162.4
Incheon,2010-10-01,200.6
Incheon,2010-11-01,140.6
Incheon,2010-12-01,167.3
Incheon,2011-01-01,62.9
Incheon,2011-02-01,30.7
Incheon,2011-03-01,14.6
Incheon,2011-04-01,78.3
Incheon,2011-05-01,96.3
Incheon,2011-06-01,131.2
Incheon,2011-07-01,192.7
Incheon,2011-08-01,168.0
Incheon,2011-09-01,234.7
Incheon,2011-10-01,173.5
Incheon,2011-11-01,212.1
Incheon,2011-12-01,73.9
Incheon,2012-01-01,121.2
Incheon,2012-02-01,36.0
Incheon,2012-03-01,10.6
Incheon,2012-04-01,43.4
Incheon,2012-05-01,128.7
Incheon,2012-06-01,112.2
Incheon,2012-07-01,165.6
Incheon,2012-08-01,132.9
Incheon,2012-09-01,203.8
Incheon,2012-10-01,159.0
Incheon,2012-11-01,175.3
Incheon,2012-12-01,98.9
Incheon,2013-01-01,131.6
Incheon,2013-02-01,10.8
Incheon,2013-03-01,24.8
Incheon,2013-04-01,90.0
Incheon,2013-05-01,62.7
Incheon,2013-06-01,86.3
Incheon,2013-07-01,167.1
Incheon,2013-08-01,214.1
Incheon,2013-09-01,253.6
Incheon,2013-10-01,160.6
Incheon,2013-11-01,205.3
Incheon,2013-12-01,97.9
Incheon,2014-01-01,24.9
Incheon,2014-02-01,102.9
Incheon,2014-03-01,23.1
Incheon,2014-04-01,59.2
Incheon,2014-05-01,91.2
Incheon,2014-06-01,144.4
Incheon,2014-07-01,171.8
Incheon,2014-08-01,276.4
Incheon,2014-09-01,252.4
Incheon,2014-10-01,206.7
Incheon,2014-11-01,220.6
Incheon,2014-12-01,114.4
Incheon,2015-01-01,85.9
Incheon,2015-02-01,0.0
Incheon,2015-03-01,38.1
Incheon,2015-04-01,117.7
Incheon,2015-05-01,51.3
Incheon,2015-06-01,97.4
Incheon,2015-07-01,195.4
Incheon,2015-08-01,175.6
Incheon,2015-09-01,171.1
Incheon,2015-10-01,169.3
Incheon,2015-11-01,192.2
Incheon,2015-12-01,84.1
Incheon,2016-01-01,85.3
Incheon,2016-02-01,0.0
Incheon,2016-03-01,0.0
Incheon,2016-04-01,63.6
Incheon,2016-05-01,46.1
Incheon,2016-06-01,138.7
Incheon,2016-07-01,136.2
Incheon,2016-08-01,200.6
Incheon,2016-09-01,264.0
Incheon,2016-10-01,221.1
Incheon,2016-11-01,173.0
Incheon,2016-12-01,97.5
Incheon,2017-01-01,95.6
Incheon,2017-02-01,0.0
Incheon,2017-03-01,57.9
Incheon,2017-04-01,0.0
Incheon,2017-05-01,81.6
Incheon,2017-06-01,97.7
Incheon,2017-07-01,184.6
Incheon,2017-08-01,208.7
Incheon,2017-09-01,231.7
Incheon,2017-10-01,229.2
Incheon,2017-11-01,151.1
Incheon,2017-12-01,122.6
Incheon,2018-01-01,31.3
Incheon,2018-02-01,14.9
Incheon,2018-03-01,70.2
Incheon,2018-04-01,74.8
Incheon,2018-05-01,29.1
Incheon,2018-06-01,90.8
Incheon,2018-07-01,216.7
Incheon,2018-08-01,169.3
Incheon,2018-09-01,269.5
Incheon,2018-10-01,228.8
Incheon,2018-11-01,153.8
Incheon,2018-12-01,160.9
Incheon,2019-01-01,38.6
Incheon,2019-02-01,88.9
Incheon,2019-03-01,53.7
Incheon,2019-04-01,34.2
Incheon,2019-05-01,16.5
Incheon,2019-06-01,85.3
Incheon,2019-07-01,166.9
Incheon,2019-08-01,169.8
Incheon,2019-09-01,174.7
Incheon,2019-10-01,209.9
Incheon,2019-11-01,134.0
Incheon,2019-12-01,77.5
Incheon,2020-01-01,85.6
Incheon,2020-02-01,2.9
Incheon,2020-03-01,4.1
Incheon,2020-04-01,1.4
Incheon,2020-05-01,66.5
Incheon,2020-06-01,151.7
Incheon,2020-07-01,163.2
Incheon,2020-08-01,229.3
Incheon,2020-09-01,134.8
Incheon,2020-10-01,215.6
Incheon,2020-11-01,169.1
Incheon,2020-12-01,135.0
Incheon,2021-01-01,140.4
Incheon,2021-02-01,24.3
Incheon,2021-03-01,13.5
Incheon,2021-04-01,97.5
Incheon,2021-05-01,95.0
Incheon,2021-06-01,66.8
Incheon,2021-07-01,166.3
Incheon,2021-08-01,211.6
Incheon,2021-09-01,181.2
Incheon,2021-10-01,232.8
Incheon,2021-11-01,152.7
Incheon,2021-12-01,84.1
Incheon,2022-01-01,149.0
Incheon,2022-02-01,30.5
