STN,STN_NM,TM,SUM_RN,AVG_TA,MIN_TA,MAX_TA,AVG_RHM,AVG_PA,AVG_PV,AVG_WS,SUM_SS,SUM_SR
105,Gangneung,2003-09-01,185.1,19.8,14.7,24.6,74.7,1007.5,25.4,3.13,250.2,461.6
105,Gangneung,2003-10-01,194.4,10.4,6.4,16.1,79.2,1000.4,18.5,2.41,179.6,449.7
105,Gangneung,2003-11-01,172.9,9.5,5.4,14.8,76.5,1003.5,20.0,3.05,128.4,364.5
105,Gangneung,2003-12-01,135.2,2.2,-3.0,6.8,74.0,1001.4,16.6,2.83,155.8,324.1
105,Gangneung,2004-01-01,76.5,1.6,-2.2,6.6,66.3,1007.7,13.7,2.35,165.1,199.5
105,Gangneung,2004-02-01,3.4,4.4,0.4,9.7,63.7,1006.9,18.1,2.62,178.2,207.7
105,Gangneung,2004-03-01,0.0,10.0,7.0,15.6,59.2,996.8,17.9,1.76,108.2,270.5
105,Gangneung,2004-04-01,50.6,13.8,7.9,18.4,53.2,1001.2,21.9,2.68,153.5,355.6
105,Gangneung,2004-05-01,75.0,19.0,15.1,23.8,55.3,1006.1,23.3,2.61,173.4,392.9
105,Gangneung,2004-06-01,143.5,17.8,14.5,23.5,50.8,1000.1,24.9,2.29,214.9,555.4
105,Gangneung,2004-07-01,208.5,23.2,18.4,27.9,69.7,1003.0,24.7,2.16,194.9,502.6
105,Gangneung,2004-08-01,184.2,22.0,18.2,27.9,72.4,998.4,26.7,2.35,194.2,635.7
105,Gangneung,2004-09-01,188.3,16.2,12.7,22.1,76.9,1002.1,23.6,2.54,265.0,535.3
105,Gangneung,2004-10-01,145.1,14.2,9.3,19.7,78.3,1002.5,22.4,3.18,261.9,494.2
105,Gangneung,2004-11-01,167.6,9.6,5.0,14.7,75.3,1004.5,18.1,1.76,128.2,333.0
105,Gangneung,2004-12-01,98.4,3.7,-0.1,8.9,67.6,1004.9,15.8,2.29,154.6,347.2
105,Gangneung,2005-01-01,55.1,4.6,-0.0,9.7,74.1,1004.4,19.0,2.44,142.6,240.7
105,Gangneung,2005-02-01,26.3,3.1,-2.1,8.1,61.3,1007.9,16.6,2.29,131.3,201.5
105,Gangneung,2005-03-01,52.2,5.5,-0.1,10.1,49.4,1009.0,18.4,2.11,90.5,66.2
105,Gangneung,2005-04-01,13.2,16.2,12.8,21.9,54.6,996.7,22.5,2.44,147.8,357.4
105,Gangneung,2005-05-01,79.1,19.3,13.9,24.1,60.3,998.9,22.7,2.93,175.2,484.2
105,Gangneung,2005-06-01,99.0,23.4,19.6,29.0,64.5,1001.1,25.1,2.22,221.3,396.1
105,Gangneung,2005-07-01,184.3,21.8,17.7,27.1,62.2,995.9,24.3,2.5,227.5,540.7
105,Gangneung,2005-08-01,191.2,21.9,17.4,27.0,73.3,1004.2,26.3,2.52,290.9,574.8
105,Gangneung,2005-09-01,198.8,16.0,12.6,21.8,72.3,1002.6,23.4,2.42,212.8,609.9
105,Gangneung,2005-10-01,222.7,11.9,8.3,17.7,77.7,997.3,20.8,2.5,187.5,501.4
105,Gangneung,2005-11-01,111.1,9.9,5.1,15.1,76.7,993.6,17.8,2.28,153.2,442.9
105,Gangneung,2005-12-01,184.4,2.1,-2.4,7.5,76.6,998.7,16.1,3.13,108.7,233.1
105,Gangneung,2006-01-01,52.2,1.2,-2.3,7.2,58.8,1005.7,14.7,2.91,112.3,205.9
105,Gangneung,2006-02-01,51.2,6.0,1.3,10.6,60.9,999.3,17.6,1.83,131.2,171.6
105,Gangneung,2006-03-01,0.0,9.6,5.2,14.1,59.7,1001.5,19.1,2.51,112.5,272.4
105,Gangneung,2006-04-01,13.6,11.8,8.4,17.3,44.6,1009.6,24.5,2.24,101.6,291.4
105,Gangneung,2006-05-01,57.0,17.9,14.0,22.7,56.4,996.9,24.4,3.22,184.3,379.8
105,Gangneung,2006-06-01,109.5,21.6,17.7,27.6,52.9,1003.3,25.2,3.14,205.6,590.1
105,Gangneung,2006-07-01,123.4,24.4,19.5,28.9,65.6,1007.4,26.0,1.72,231.5,501.7
105,Gangneung,2006-08-01,184.8,21.7,17.4,26.5,72.7,1000.6,21.4,2.71,246.8,537.2
105,Gangneung,2006-09-01,163.4,19.6,14.1,24.3,76.7,1004.5,24.8,2.33,252.4,593.4
105,Gangneung,2006-10-01,240.6,11.4,6.9,17.2,75.5,1001.2,21.8,3.0,198.5,464.5
105,Gangneung,2006-11-01,173.0,8.1,2.2,12.6,72.5,1000.2,14.8,2.01,157.1,387.9
105,Gangneung,2006-12-01,153.5,4.3,-0.3,8.9,74.7,999.6,15.1,2.62,144.5,348.8
105,Gangneung,2007-01-01,66.5,3.3,0.6,9.1,64.3,998.7,14.2,2.67,119.3,182.8
105,Gangneung,2007-02-01,28.9,6.3,1.7,11.1,55.8,1009.3,18.0,2.71,91.5,152.8
105,Gangneung,2007-03-01,35.2,8.5,4.3,13.1,55.6,1004.0,19.7,2.72,87.5,109.3
105,Gangneung,2007-04-01,67.3,14.5,9.7,19.9,53.3,1006.7,24.6,2.61,140.7,256.4
105,Gangneung,2007-05-01,67.4,17.3,12.8,22.5,60.9,1007.4,21.9,2.74,196.0,426.6
105,Gangneung,2007-06-01,158.2,22.7,19.0,27.7,60.2,995.5,26.0,2.18,178.0,590.9
105,Gangneung,2007-07-01,222.5,24.3,20.5,30.2,65.0,1003.3,25.4,2.56,233.5,477.7
105,Gangneung,2007-08-01,195.0,20.5,16.9,26.5,71.0,1003.7,25.3,2.32,212.9,570.9
105,Gangneung,2007-09-01,183.4,16.1,11.2,21.0,69.1,1002.5,24.0,2.82,257.6,558.2
105,Gangneung,2007-10-01,167.2,11.2,6.4,16.3,81.5,1007.6,19.9,1.9,202.0,503.0
105,Gangneung,2007-11-01,154.9,6.8,2.8,12.1,73.2,1004.6,17.4,2.5,186.8,331.6
105,Gangneung,2007-12-01,97.7,5.9,1.3,11.6,66.9,995.0,15.0,2.41,150.8,302.9
105,Gangneung,2008-01-01,109.5,-2.0,-5.9,3.7,61.1,1002.3,12.7,2.04,119.9,329.8
105,Gangneung,2008-02-01,96.5,2.8,-0.5,8.8,65.1,1003.2,16.6,2.55,199.5,271.1
105,Gangneung,2008-03-01,0.0,8.6,5.1,14.6,57.8,1003.4,19.7,2.41,136.5,269.6
105,Gangneung,2008-04-01,0.0,14.2,10.4,19.1,52.8,1003.4,20.5,2.73,116.4,285.6
105,Gangneung,2008-05-01,46.5,18.4,13.5,22.9,57.1,1003.1,20.6,1.62,179.7,386.7
105,Gangneung,2008-06-01,110.9,20.8,16.1,26.6,55.1,998.0,23.7,2.52,241.1,464.1
105,Gangneung,2008-07-01,74.4,19.8,15.7,25.3,63.6,1002.9,24.2,2.82,215.1,504.1
105,Gangneung,2008-08-01,213.5,19.1,14.2,24.2,70.5,1009.1,23.2,3.22,234.4,503.4
105,Gangneung,2008-09-01,211.9,16.5,12.0,21.3,77.3,1000.4,24.1,2.86,267.9,587.6
105,Gangneung,2008-10-01,244.5,10.2,4.6,15.0,77.4,1001.0,19.2,3.15,205.8,514.8
105,Gangneung,2008-11-01,153.9,8.4,2.7,13.1,79.5,1009.9,19.0,2.64,151.2,394.7
105,Gangneung,2008-12-01,147.4,4.9,1.6,10.7,72.7,1008.3,17.8,2.26,158.4,134.2
105,Gangneung,2009-01-01,80.4,-3.0,-6.6,2.2,66.7,999.2,12.0,2.95,115.9,378.7
105,Gangneung,2009-02-01,32.2,5.2,-0.4,10.0,55.5,1003.1,16.9,1.85,113.6,175.5
105,Gangneung,2009-03-01,51.9,8.3,3.3,13.1,55.4,1005.8,17.0,1.98,155.7,219.4
105,Gangneung,2009-04-01,0.0,12.8,9.5,18.7,53.8,1006.0,21.9,2.65,114.9,329.9
105,Gangneung,2009-05-01,56.4,17.3,11.8,22.2,60.9,1008.1,22.9,2.54,199.2,407.3
105,Gangneung,2009-06-01,119.1,22.5,18.8,28.0,57.5,1005.1,26.0,2.54,226.8,467.5
105,Gangneung,2009-07-01,188.5,23.6,19.7,28.6,63.2,995.9,24.7,1.99,233.3,539.5
105,Gangneung,2009-08-01,185.0,22.1,17.3,27.7,72.4,1005.1,22.7,2.25,185.5,582.2
105,Gangneung,2009-09-01,209.3,18.7,15.4,24.7,73.6,1004.7,23.5,2.4,256.6,522.4
105,Gangneung,2009-10-01,225.0,14.1,9.5,19.1,79.4,1003.5,20.4,2.06,196.6,522.6
105,Gangneung,2009-11-01,128.6,8.1,3.7,13.7,75.8,1013.1,16.8,2.99,183.7,424.7
105,Gangneung,2009-12-01,118.6,4.9,1.1,10.1,69.4,1008.0,16.1,2.38,123.2,337.3
105,Gangneung,2010-01-01,117.6,2.2,-0.9,7.9,64.2,997.2,14.6,2.49,161.0,412.7
105,Gangneung,2010-02-01,11.7,7.0,2.9,11.6,60.5,1003.7,18.0,2.24,85.0,127.4
105,Gangneung,2010-03-01,42.4,7.2,3.1,12.6,57.4,1004.1,17.3,2.89,167.5,273.8
105,Gangneung,2010-04-01,66.3,14.8,10.6,20.0,55.1,1005.1,20.3,2.68,116.1,262.3
105,Gangneung,2010-05-01,112.6,18.7,14.2,24.3,50.6,1001.8,24.3,2.43,208.3,378.3
105,Gangneung,2010-06-01,126.8,20.5,16.6,25.1,56.4,1001.8,24.3,2.29,254.3,484.1
105,Gangneung,2010-07-01,153.5,18.9,15.1,24.6,62.6,1008.3,24.1,2.92,233.5,558.1
105,Gangneung,2010-08-01,193.7,21.5,17.4,26.7,64.0,1000.5,25.4,2.68,251.8,556.9
105,Gangneung,2010-09-01,245.2,19.6,14.2,24.6,76.3,1000.5,25.4,2.44,232.0,644.3
105,Gangneung,2010-10-01,111.0,10.9,5.9,15.7,76.1,997.2,18.4,2.06,271.4,598.1
105,Gangneung,2010-11-01,147.6,7.0,2.9,12.4,75.0,999.4,18.1,1.76,161.0,408.9
105,Gangneung,2010-12-01,127.3,5.0,0.4,10.0,68.2,1006.0,17.0,1.85,142.1,331.9
105,Gangneung,2011-01-01,88.5,2.6,-1.7,7.8,64.1,1006.6,18.8,3.18,97.3,188.5
105,Gangneung,2011-02-01,84.2,2.8,-1.7,7.6,60.5,1003.2,14.8,2.13,102.2,167.2
105,Gangneung,2011-03-01,99.4,8.1,4.6,13.5,54.0,1000.5,14.8,1.85,82.8,109.1
105,Gangneung,2011-04-01,0.0,14.5,10.0,20.1,54.4,1006.1,20.7,2.61,168.2,275.4
105,Gangneung,2011-05-01,86.6,19.2,13.4,23.9,50.5,1003.2,24.4,2.08,180.7,434.2
105,Gangneung,2011-06-01,136.1,23.3,19.5,29.1,64.9,1000.4,28.1,2.43,199.7,381.5
105,Gangneung,2011-07-01,156.0,20.3,15.9,25.5,62.2,1003.9,23.7,2.15,251.3,553.6
105,Gangneung,2011-08-01,257.7,20.3,16.6,25.9,73.8,1000.9,24.9,2.35,219.1,619.7
105,Gangneung,2011-09-01,232.3,19.4,13.6,23.9,74.1,1004.3,23.0,2.41,217.0,653.1
105,Gangneung,2011-10-01,209.5,12.0,7.4,17.7,70.0,1006.3,20.9,2.5,176.8,488.6
105,Gangneung,2011-11-01,232.1,9.4,5.5,14.3,74.0,994.8,19.5,2.74,140.6,360.3
105,Gangneung,2011-12-01,74.0,2.0,-1.5,7.8,62.1,1006.1,17.0,2.3,88.0,250.2
105,Gangneung,2012-01-01,110.2,-1.6,-5.2,3.6,67.8,1001.1,14.4,2.63,173.9,231.9
105,Gangneung,2012-02-01,45.4,1.4,-1.9,7.0,57.0,1003.6,13.1,2.49,144.2,237.6
105,Gangneung,2012-03-01,0.0,8.0,3.6,12.8,50.8,1006.9,18.8,2.56,174.5,272.2
105,Gangneung,2012-04-01,55.3,16.9,13.0,22.3,54.5,1004.6,22.4,1.99,207.7,329.6
105,Gangneung,2012-05-01,41.4,18.6,15.9,24.5,56.6,997.6,24.8,3.17,191.7,377.4
105,Gangneung,2012-06-01,96.8,20.9,16.6,26.0,62.2,995.8,26.3,2.25,219.4,422.4
105,Gangneung,2012-07-01,208.5,24.4,19.8,30.0,67.9,1004.1,24.6,2.39,241.1,589.2
105,Gangneung,2012-08-01,203.0,21.2,17.2,27.1,61.0,1001.4,25.3,1.7,242.4,654.9
105,Gangneung,2012-09-01,171.5,18.4,13.2,23.5,80.6,1000.7,24.5,1.65,278.5,592.0
105,Gangneung,2012-10-01,190.4,13.0,9.9,18.9,75.9,1002.2,20.7,2.17,227.4,505.4
105,Gangneung,2012-11-01,184.8,8.2,2.9,13.0,83.2,997.1,20.4,2.95,158.7,533.8
105,Gangneung,2012-12-01,149.3,5.8,0.9,10.9,70.3,1005.0,19.5,2.47,127.2,359.5
105,Gangneung,2013-01-01,99.2,4.3,-1.3,9.0,61.7,1000.1,14.1,2.49,126.0,217.7
105,Gangneung,2013-02-01,0.0,2.1,-2.0,7.3,60.3,998.1,17.8,2.34,127.3,359.5
105,Gangneung,2013-03-01,72.6,7.3,3.9,12.5,56.4,1003.0,17.7,2.99,125.2,382.1
105,Gangneung,2013-04-01,35.4,15.4,11.0,20.9,50.5,999.5,23.1,2.8,151.0,232.8
105,Gangneung,2013-05-01,19.4,15.1,12.0,20.7,58.5,1002.9,19.0,2.32,175.9,525.8
105,Gangneung,2013-06-01,63.5,21.2,17.0,26.0,61.0,1003.2,25.5,2.71,189.8,542.7
105,Gangneung,2013-07-01,113.9,23.6,19.4,28.5,64.9,1000.1,24.7,2.26,204.4,575.3
105,Gangneung,2013-08-01,156.5,22.6,17.7,27.8,68.8,1007.9,26.4,2.32,252.5,453.6
105,Gangneung,2013-09-01,208.0,21.3,17.4,26.2,77.3,1006.3,22.1,1.73,237.2,513.0
105,Gangneung,2013-10-01,242.7,11.7,7.0,17.5,67.4,1002.2,20.5,2.23,237.0,561.9
105,Gangneung,2013-11-01,156.0,4.3,0.3,9.6,76.5,1007.4,15.0,3.2,156.0,445.0
105,Gangneung,2013-12-01,55.4,2.0,-2.4,7.9,73.9,1004.6,15.8,2.95,144.1,203.2
105,Gangneung,2014-01-01,38.9,4.1,-0.0,8.9,62.5,1001.2,15.9,1.85,112.3,200.4
105,Gangneung,2014-02-01,59.2,5.7,0.3,10.6,59.5,1000.2,15.6,2.02,104.1,150.2
105,Gangneung,2014-03-01,25.2,9.0,5.2,14.2,53.8,1004.7,19.1,1.82,96.5,245.9
105,Gangneung,2014-04-01,68.2,9.9,5.5,14.5,52.5,1005.5,18.2,2.35,109.5,169.3
105,Gangneung,2014-05-01,100.0,16.3,12.0,21.4,49.7,1002.2,21.6,2.55,191.3,419.3
105,Gangneung,2014-06-01,122.9,23.6,19.2,29.2,63.0,1007.6,24.5,2.28,244.0,520.5
105,Gangneung,2014-07-01,168.8,21.9,18.6,27.7,64.1,1002.4,25.9,2.13,245.3,730.7
105,Gangneung,2014-08-01,134.6,22.6,18.4,27.2,71.2,1005.7,27.4,2.48,268.3,439.3
105,Gangneung,2014-09-01,265.2,17.8,14.5,23.6,72.5,1003.4,23.8,2.51,259.1,450.0
105,Gangneung,2014-10-01,230.9,12.7,8.0,18.0,78.8,993.4,22.0,1.8,211.3,482.8
105,Gangneung,2014-11-01,202.9,7.0,2.4,12.7,79.8,1005.5,17.8,2.31,140.8,423.3
105,Gangneung,2014-12-01,52.9,4.7,0.1,10.5,67.1,1003.1,20.0,2.88,132.6,323.4
105,Gangneung,2015-01-01,67.1,2.8,-0.8,8.5,59.4,1004.1,16.9,2.31,87.7,303.4
105,Gangneung,2015-02-01,45.0,3.6,-0.8,8.2,55.4,1001.4,17.9,2.14,136.0,187.7
105,Gangneung,2015-03-01,28.2,6.9,4.2,12.8,49.1,997.8,17.6,1.9,138.3,216.2
105,Gangneung,2015-04-01,115.3,10.7,4.8,15.2,51.3,1003.8,16.1,2.49,197.6,282.8
105,Gangneung,2015-05-01,76.1,18.8,14.5,24.6,46.6,1005.3,24.2,1.99,183.2,365.0
105,Gangneung,2015-06-01,96.0,22.8,19.0,27.6,54.1,1000.0,28.7,2.85,212.4,433.6
105,Gangneung,2015-07-01,143.5,22.7,17.9,28.1,64.9,1001.7,23.9,2.19,254.8,473.8
105,Gangneung,2015-08-01,190.1,20.5,16.5,25.3,76.2,1004.8,22.7,2.67,220.6,545.4
105,Gangneung,2015-09-01,220.5,17.4,12.3,22.2,73.2,1000.3,22.3,2.84,247.7,658.5
105,Gangneung,2015-10-01,276.1,11.6,6.5,16.4,74.3,1000.7,18.6,1.98,206.4,417.0
105,Gangneung,2015-11-01,191.5,5.9,2.6,11.5,74.3,1001.6,17.9,1.88,222.7,467.2
105,Gangneung,2015-12-01,124.9,1.9,-2.5,7.2,76.1,1006.9,15.7,1.43,125.4,351.3
105,Gangneung,2016-01-01,109.5,4.6,0.9,9.8,68.6,996.9,16.9,2.51,120.5,133.0
105,Gangneung,2016-02-01,20.8,4.1,-1.6,8.8,57.4,1003.4,17.1,2.28,109.8,225.5
105,Gangneung,2016-03-01,0.0,8.5,3.8,13.8,58.0,995.5,15.9,2.51,127.9,254.3
105,Gangneung,2016-04-01,16.1,13.1,9.5,19.1,52.1,994.6,22.7,2.89,166.1,257.2
105,Gangneung,2016-05-01,90.6,18.4,13.9,24.4,53.8,1005.8,24.3,1.95,190.4,434.7
105,Gangneung,2016-06-01,117.6,21.9,17.0,27.0,55.8,1000.3,25.5,2.75,172.6,411.4
105,Gangneung,2016-07-01,90.7,22.7,19.5,28.1,67.3,1000.0,26.4,2.28,248.8,584.4
105,Gangneung,2016-08-01,172.6,20.6,17.6,26.4,66.1,1005.3,23.6,2.97,265.6,597.4
105,Gangneung,2016-09-01,215.0,16.8,13.1,22.7,76.2,1006.4,22.5,2.15,202.1,492.0
105,Gangneung,2016-10-01,132.8,14.0,9.9,19.2,71.3,1005.9,23.7,2.22,212.5,369.5
105,Gangneung,2016-11-01,171.3,5.6,1.2,11.3,77.3,1007.5,16.5,1.95,126.1,384.0
105,Gangneung,2016-12-01,94.1,1.7,-2.0,6.9,67.2,1001.4,17.0,2.64,146.7,347.1
105,Gangneung,2017-01-01,26.4,2.4,-2.4,8.1,66.5,1000.5,16.8,2.62,55.1,315.5
105,Gangneung,2017-02-01,0.0,3.0,-0.5,8.4,53.9,999.2,17.7,1.63,148.2,216.7
105,Gangneung,2017-03-01,0.0,6.5,2.8,12.1,57.2,996.5,17.4,2.05,160.4,163.1
105,Gangneung,2017-04-01,88.4,12.2,9.0,17.9,50.2,998.0,21.1,1.91,95.5,287.2
105,Gangneung,2017-05-01,3.9,16.8,13.2,21.8,61.6,1003.1,23.3,1.69,163.7,412.9
105,Gangneung,2017-06-01,78.6,22.2,18.3,28.1,56.9,1003.3,25.1,2.29,204.1,445.9
105,Gangneung,2017-07-01,179.0,23.7,19.0,28.4,67.8,1001.6,25.7,2.44,274.4,475.5
105,Gangneung,2017-08-01,223.7,19.1,14.6,23.6,72.7,1003.5,23.0,2.41,233.7,532.8
105,Gangneung,2017-09-01,199.4,18.3,14.0,23.3,70.6,1004.4,24.5,2.49,256.1,561.2
105,Gangneung,2017-10-01,210.5,13.0,8.1,18.5,84.7,1001.3,20.2,2.57,216.3,405.7
105,Gangneung,2017-11-01,201.3,7.7,2.7,12.8,77.6,998.3,21.1,2.66,179.7,495.4
105,Gangneung,2017-12-01,120.1,4.7,-0.1,9.3,72.7,1003.6,15.5,2.45,148.3,230.0
105,Gangneung,2018-01-01,15.5,3.1,-0.4,8.9,63.3,1008.8,15.7,2.66,118.1,250.9
105,Gangneung,2018-02-01,58.0,3.8,-1.2,8.6,60.0,1007.3,17.3,3.17,100.9,137.3
105,Gangneung,2018-03-01,0.0,9.2,3.8,14.1,50.7,1006.4,17.2,2.86,199.5,266.1
105,Gangneung,2018-04-01,52.6,11.8,7.3,17.2,49.2,997.4,23.2,2.51,159.5,291.5
105,Gangneung,2018-05-01,60.9,20.0,14.2,24.5,53.9,1001.4,22.2,1.61,173.5,403.4
105,Gangneung,2018-06-01,69.5,21.5,17.4,26.6,55.8,1004.3,25.9,1.94,214.0,551.3
105,Gangneung,2018-07-01,189.2,22.5,18.7,27.8,66.6,1003.4,26.9,2.45,252.4,561.6
105,Gangneung,2018-08-01,224.2,22.2,19.4,28.1,76.4,1003.6,23.5,2.11,259.3,563.2
105,Gangneung,2018-09-01,191.6,19.5,16.5,25.2,76.1,1004.3,25.4,2.76,236.9,585.2
105,Gangneung,2018-10-01,187.7,13.2,7.8,18.1,79.7,1005.3,21.1,2.08,211.7,488.3
105,Gangneung,2018-11-01,168.8,11.2,7.2,16.5,79.1,1003.6,23.8,2.25,188.1,352.1
105,Gangneung,2018-12-01,102.2,5.0,-0.4,9.7,75.4,1003.1,16.4,3.48,159.9,266.8
105,Gangneung,2019-01-01,42.7,0.8,-2.1,6.5,65.4,1003.4,16.3,2.06,101.1,257.6
105,Gangneung,2019-02-01,53.3,4.5,-0.1,9.9,56.4,1001.4,15.5,2.92,135.8,256.3
105,Gangneung,2019-03-01,63.2,11.6,7.1,17.5,52.5,999.7,19.1,2.28,97.6,264.2
105,Gangneung,2019-04-01,34.0,14.2,10.2,18.8,51.7,1011.5,21.7,1.66,124.9,205.6
105,Gangneung,2019-05-01,67.6,17.8,13.6,22.8,56.5,1005.8,22.0,2.0,180.9,410.4
105,Gangneung,2019-06-01,49.5,20.9,17.1,26.4,56.2,1000.5,24.9,2.44,225.1,554.9
105,Gangneung,2019-07-01,151.7,21.6,18.7,27.3,63.5,1005.8,27.1,2.92,276.4,503.9
105,Gangneung,2019-08-01,197.3,21.4,16.7,26.7,65.8,1003.0,24.2,2.43,220.1,514.0
105,Gangneung,2019-09-01,217.7,18.4,13.0,23.2,76.4,1004.8,22.0,1.89,271.5,500.5
105,Gangneung,2019-10-01,160.2,12.3,9.0,17.9,75.9,1008.0,19.8,1.84,233.6,519.5
105,Gangneung,2019-11-01,140.3,5.9,2.0,10.5,79.5,999.3,17.1,2.67,120.5,462.0
105,Gangneung,2019-12-01,73.1,4.7,0.2,9.9,72.9,994.0,15.8,2.46,145.1,338.7
105,Gangneung,2020-01-01,94.6,3.3,-0.5,9.0,63.4,1005.2,14.9,2.65,150.7,251.7
105,Gangneung,2020-02-01,0.0,2.5,-2.4,7.3,52.1,1008.6,15.7,2.84,126.9,247.5
105,Gangneung,2020-03-01,32.2,9.1,4.5,14.1,49.1,1005.1,20.8,2.88,117.4,314.0
105,Gangneung,2020-04-01,64.7,16.4,13.4,22.1,51.9,1000.9,21.7,1.29,139.1,332.2
105,Gangneung,2020-05-01,49.7,20.8,15.6,26.1,55.5,1006.0,25.5,2.95,181.4,429.8
105,Gangneung,2020-06-01,127.3,21.1,17.0,26.2,58.1,1004.4,27.0,2.86,210.3,347.0
105,Gangneung,2020-07-01,180.1,19.0,15.7,24.4,68.5,999.2,21.9,2.5,231.1,526.4
105,Gangneung,2020-08-01,199.7,26.5,21.1,31.1,74.0,1008.4,27.3,1.58,235.3,628.7
105,Gangneung,2020-09-01,175.6,17.9,14.0,22.7,78.0,1005.5,24.3,2.39,236.9,484.8
105,Gangneung,2020-10-01,120.2,13.3,9.1,18.2,82.5,1009.4,19.6,2.26,222.0,641.9
105,Gangneung,2020-11-01,213.8,9.5,6.2,14.8,78.2,998.9,19.0,2.35,219.8,378.7
105,Gangneung,2020-12-01,29.1,4.6,0.4,10.1,70.7,1002.4,18.3,1.79,137.1,351.0
105,Gangneung,2021-01-01,45.5,-0.1,-3.9,5.4,64.8,995.9,15.8,1.74,135.8,190.9
105,Gangneung,2021-02-01,0.0,3.5,-1.0,8.6,61.1,1001.8,17.8,2.51,102.6,168.0
105,Gangneung,2021-03-01,0.0,8.2,3.2,13.5,52.7,999.7,21.1,1.72,92.0,310.7
105,Gangneung,2021-04-01,79.7,11.8,7.4,16.8,44.9,995.7,20.0,3.02,139.1,316.1
105,Gangneung,2021-05-01,106.7,20.5,16.9,26.4,61.0,996.6,26.7,1.99,182.6,385.4
105,Gangneung,2021-06-01,81.0,20.0,16.5,25.1,58.5,1003.0,25.4,2.01,228.5,539.2
105,Gangneung,2021-07-01,253.1,21.9,17.0,27.4,67.9,1000.5,25.1,2.62,211.3,531.3
