STN_NM,TM,MAX_TA,AVG_PA,AVG_RHM,AVG_WS,SUM_SS,SUM_SR
Gangneung,2004-02-01,9.7,1006.9,63.7,2.62,178.2,207.7
Gangneung,2004-03-01,15.6,996.8,59.2,1.76,108.2,270.5
Gangneung,2004-04-01,18.4,1001.2,53.2,2.68,153.5,355.6
Gangneung,2004-05-01,23.8,1006.1,55.3,2.61,173.4,392.9
Gangneung,2004-06-01,23.5,1000.1,50.8,2.29,214.9,555.4
Gangneung,2004-07-01,27.9,1003.0,69.7,2.16,194.9,502.6
Gangneung,2004-08-01,27.9,998.4,72.4,2.35,194.2,635.7
Gangneung,2004-09-01,22.1,1002.1,76.9,2.54,265.0,535.3
Gangneung,2004-10-01,19.7,1002.5,78.3,3.18,261.9,494.2
Gangneung,2004-11-01,14.7,1004.5,75.3,1.76,128.2,333.0
Gangneung,2004-12-01,8.9,1004.9,67.6,2.29,154.6,347.2
Gangneung,2005-01-01,9.7,1004.4,74.1,2.44,142.6,240.7
Gangneung,2005-02-01,8.1,1007.9,61.3,2.29,131.3,201.5
Gangneung,2005-03-01,10.1,1009.0,49.4,2.11,90.5,66.2
Gangneung,2005-04-01,21.9,996.7,54.6,2.44,147.8,357.4
Gangneung,2005-05-01,24.1,998.9,60.3,2.93,175.2,484.2
Gangneung,2005-06-01,29.0,1001.1,64.5,2.22,221.3,396.1
Gangneung,2005-07-01,27.1,995.9,62.2,2.5,227.5,540.7
Gangneung,2005-08-01,27.0,1004.2,73.3,2.52,290.9,574.8
Gangneung,2005-09-01,21.8,1002.6,72.3,2.42,212.8,609.9
Gangneung,2005-10-01,17.7,997.3,77.7,2.5,187.5,501.4
Gangneung,2005-11-01,15.1,993.6,76.7,2.28,153.2,442.9
Gangneung,2005-12-01,7.5,998.7,76.6,3.13,108.7,233.1
Gangneung,2006-01-01,7.2,1005.7,58.8,2.91,112.3,205.9
Gangneung,2006-02-01,10.6,999.3,60.9,1.83,131.2,171.6
Gangneung,2006-03-01,14.1,1001.5,59.7,2.51,112.5,272.4
Gangneung,2006-04-01,17.3,1009.6,44.6,2.24,101.6,291.4
Gangneung,2006-05-01,22.7,996.9,56.4,3.22,184.3,379.8
Gangneung,2006-06-01,27.6,1003.3,52.9,3.14,205.6,590.1
Gangneung,2006-07-01,28.9,1007.4,65.6,1.72,231.5,501.7
Gangneung,2006-08-01,26.5,1000.6,72.7,2.71,246.8,537.2
Gangneung,2006-09-01,24.3,1004.5,76.7,2.33,252.4,593.4
Gangneung,2006-10-01,17.2,1001.2,75.5,3.0,198.5,464.5
Gangneung,2006-11-01,12.6,1000.2,72.5,2.01,157.1,387.9
Gangneung,2006-12-01,8.9,999.6,74.7,2.62,144.5,348.8
Gangneung,2007-01-01,9.1,998.7,64.3,2.67,119.3,182.8
Gangneung,2007-02-01,11.1,1009.3,55.8,2.71,91.5,152.8
Gangneung,2007-03-01,13.1,1004.0,55.6,2.72,87.5,109.3
Gangneung,2007-04-01,19.9,1006.7,53.3,2.61,140.7,256.4
Gangneung,2007-05-01,22.5,1007.4,60.9,2.74,196.0,426.6
Gangneung,2007-06-01,27.7,995.5,60.2,2.18,178.0,590.9
Gangneung,2007-07-01,30.2,1003.3,65.0,2.56,233.5,477.7
Gangneung,2007-08-01,26.5,1003.7,71.0,2.32,212.9,570.9
Gangneung,2007-09-01,21.0,1002.5,69.1,2.82,257.6,558.2
Gangneung,2007-10-01,16.3,1007.6,81.5,1.9,202.0,503.0
Gangneung,2007-11-01,12.1,1004.6,73.2,2.5,186.8,331.6
Gangneung,2007-12-01,11.6,995.0,66.9,2.41,150.8,302.9
Gangneung,2008-01-01,3.7,1002.3,61.1,2.04,119.9,329.8
Gangneung,2008-02-01,8.8,1003.2,65.1,2.55,199.5,271.1
Gangneung,2008-03-01,14.6,1003.4,57.8,2.41,136.5,269.6
Gangneung,2008-04-01,19.1,1003.4,52.8,2.73,116.4,285.6
Gangneung,2008-05-01,22.9,1003.1,57.1,1.62,179.7,386.7
Gangneung,2008-06-01,26.6,998.0,55.1,2.52,241.1,464.1
Gangneung,2008-07-01,25.3,1002.9,63.6,2.82,215.1,504.1
Gangneung,2008-08-01,24.2,1009.1,70.5,3.22,234.4,503.4
Gangneung,2008-09-01,21.3,1000.4,77.3,2.86,267.9,587.6
Gangneung,2008-10-01,15.0,1001.0,77.4,3.15,205.8,514.8
Gangneung,2008-11-01,13.1,1009.9,79.5,2.64,151.2,394.7
Gangneung,2008-12-01,10.7,1008.3,72.7,2.26,158.4,134.2
Gangneung,2009-01-01,2.2,999.2,66.7,2.95,115.9,378.7
Gangneung,2009-02-01,10.0,1003.1,55.5,1.85,113.6,175.5
Gangneung,2009-03-01,13.1,1005.8,55.4,1.98,155.7,219.4
Gangneung,2009-04-01,18.7,1006.0,53.8,2.65,114.9,329.9
Gangneung,2009-05-01,22.2,1008.1,60.9,2.54,199.2,407.3
Gangneung,2009-06-01,28.0,1005.1,57.5,2.54,226.8,467.5
Gangneung,2009-07-01,28.6,995.9,63.2,1.99,233.3,539.5
Gangneung,2009-08-01,27.7,1005.1,72.4,2.25,185.5,582.2
Gangneung,2009-09-01,24.7,1004.7,73.6,2.4,256.6,522.4
Gangneung,2009-10-01,19.1,1003.5,79.4,2.06,196.6,522.6
Gangneung,2009-11-01,13.7,1013.1,75.8,2.99,183.7,424.7
Gangneung,2009-12-01,10.1,1008.0,69.4,2.38,123.2,337.3
Gangneung,2010-01-01,7.9,997.2,64.2,2.49,161.0,412.7
Gangneung,2010-02-01,11.6,1003.7,60.5,2.24,85.0,127.4
Gangneung,2010-03-01,12.6,1004.1,57.4,2.89,167.5,273.8
Gangneung,2010-04-01,20.0,1005.1,55.1,2.68,116.1,262.3
Gangneung,2010-05-01,24.3,1001.8,50.6,2.43,208.3,378.3
Gangneung,2010-06-01,25.1,1001.8,56.4,2.29,254.3,484.1
Gangneung,2010-07-01,24.6,1008.3,62.6,2.92,233.5,558.1
Gangneung,2010-08-01,26.7,1000.5,64.0,2.68,251.8,556.9
Gangneung,2010-09-01,24.6,1000.5,76.3,2.44,232.0,644.3
Gangneung,2010-10-01,15.7,997.2,76.1,2.06,271.4,598.1
Gangneung,2010-11-01,12.4,999.4,75.0,1.76,161.0,408.9
Gangneung,2010-12-01,10.0,1006.0,68.2,1.85,142.1,331.9
Gangneung,2011-01-01,7.8,1006.6,64.1,3.18,97.3,188.5
Gangneung,2011-02-01,7.6,1003.2,60.5,2.13,102.2,167.2
Gangneung,2011-03-01,13.5,1000.5,54.0,1.85,82.8,109.1
Gangneung,2011-04-01,20.1,1006.1,54.4,2.61,168.2,275.4
Gangneung,2011-05-01,23.9,1003.2,50.5,2.08,180.7,434.2
Gangneung,2011-06-01,29.1,1000.4,64.9,2.43,199.7,381.5
Gangneung,2011-07-01,25.5,1003.9,62.2,2.15,251.3,553.6
Gangneung,2011-08-01,25.9,1000.9,73.8,2.35,219.1,619.7
Gangneung,2011-09-01,23.9,1004.3,74.1,2.41,217.0,653.1
Gangneung,2011-10-01,17.7,1006.3,70.0,2.5,176.8,488.6
Gangneung,2011-11-01,14.3,994.8,74.0,2.74,140.6,360.3
Gangneung,2011-12-01,7.8,1006.1,62.1,2.3,88.0,250.2
Gangneung,2012-01-01,3.6,1001.1,67.8,2.63,173.9,231.9
Gangneung,2012-02-01,7.0,1003.6,57.0,2.49,144.2,237.6
Gangneung,2012-03-01,12.8,1006.9,50.8,2.56,174.5,272.2
Gangneung,2012-04-01,22.3,1004.6,54.5,1.99,207.7,329.6
Gangneung,2012-05-01,24.5,997.6,56.6,3.17,191.7,377.4
Gangneung,2012-06-01,26.0,995.8,62.2,2.25,219.4,422.4
Gangneung,2012-07-01,30.0,1004.1,67.9,2.39,241.1,589.2
Gangneung,2012-08-01,27.1,1001.4,61.0,1.7,242.4,654.9
Gangneung,2012-09-01,23.5,1000.7,80.6,1.65,278.5,592.0
Gangneung,2012-10-01,18.9,1002.2,75.9,2.17,227.4,505.4
Gangneung,2012-11-01,13.0,997.1,83.2,2.95,158.7,533.8
Gangneung,2012-12-01,10.9,1005.0,70.3,2.47,127.2,359.5
Gangneung,2013-01-01,9.0,1000.1,61.7,2.49,126.0,217.7
Gangneung,2013-02-01,7.3,998.1,60.3,2.34,127.3,359.5
Gangneung,2013-03-01,12.5,1003.0,56.4,2.99,125.2,382.1
Gangneung,2013-04-01,20.9,999.5,50.5,2.8,151.0,232.8
Gangneung,2013-05-01,20.7,1002.9,58.5,2.32,175.9,525.8
Gangneung,2013-06-01,26.0,1003.2,61.0,2.71,189.8,542.7
Gangneung,2013-07-01,28.5,1000.1,64.9,2.26,204.4,575.3
Gangneung,2013-08-01,27.8,1007.9,68.8,2.32,252.5,453.6
Gangneung,2013-09-01,26.2,1006.3,77.3,1.73,237.2,513.0
Gangneung,2013-10-01,17.5,1002.2,67.4,2.23,237.0,561.9
Gangneung,2013-11-01,9.6,1007.4,76.5,3.2,156.0,445.0
Gangneung,2013-12-01,7.9,1004.6,73.9,2.95,144.1,203.2
Gangneung,2014-01-01,8.9,1001.2,62.5,1.85,112.3,200.4
Gangneung,2014-02-01,10.6,1000.2,59.5,2.02,104.1,150.2
Gangneung,2014-03-01,14.2,1004.7,53.8,1.82,96.5,245.9
Gangneung,2014-04-01,14.5,1005.5,52.5,2.35,109.5,169.3
Gangneung,2014-05-01,21.4,1002.2,49.7,2.55,191.3,419.3
Gangneung,2014-06-01,29.2,1007.6,63.0,2.28,244.0,520.5
Gangneung,2014-07-01,27.7,1002.4,64.1,2.13,245.3,730.7
Gangneung,2014-08-01,27.2,1005.7,71.2,2.48,268.3,439.3
Gangneung,2014-09-01,23.6,1003.4,72.5,2.51,259.1,450.0
Gangneung,2014-10-01,18.0,993.4,78.8,1.8,211.3,482.8
Gangneung,2014-11-01,12.7,1005.5,79.8,2.31,140.8,423.3
Gangneung,2014-12-01,10.5,1003.1,67.1,2.88,132.6,323.4
Gangneung,2015-01-01,8.5,1004.1,59.4,2.31,87.7,303.4
Gangneung,2015-02-01,8.2,1001.4,55.4,2.14,136.0,187.7
Gangneung,2015-03-01,12.8,997.8,49.1,1.9,138.3,216.2
Gangneung,2015-04-01,15.2,1003.8,51.3,2.49,197.6,282.8
Gangneung,2015-05-01,24.6,1005.3,46.6,1.99,183.2,365.0
Gangneung,2015-06-01,27.6,1000.0,54.1,2.85,212.4,433.6
Gangneung,2015-07-01,28.1,1001.7,64.9,2.19,254.8,473.8
Gangneung,2015-08-01,25.3,1004.8,76.2,2.67,220.6,545.4
Gangneung,2015-09-01,22.2,1000.3,73.2,2.84,247.7,658.5
Gangneung,2015-10-01,16.4,1000.7,74.3,1.98,206.4,417.0
Gangneung,2015-11-01,11.5,1001.6,74.3,1.88,222.7,467.2
Gangneung,2015-12-01,7.2,1006.9,76.1,1.43,125.4,351.3
Gangneung,2016-01-01,9.8,996.9,68.6,2.51,120.5,133.0
Gangneung,2016-02-01,8.8,1003.4,57.4,2.28,109.8,225.5
Gangneung,2016-03-01,13.8,995.5,58.0,2.51,127.9,254.3
Gangneung,2016-04-01,19.1,994.6,52.1,2.89,166.1,257.2
Gangneung,2016-05-01,24.4,1005.8,53.8,1.95,190.4,434.7
Gangneung,2016-06-01,27.0,1000.3,55.8,2.75,172.6,411.4
Gangneung,2016-07-01,28.1,1000.0,67.3,2.28,248.8,584.4
Gangneung,2016-08-01,26.4,1005.3,66.1,2.97,265.6,597.4
Gangneung,2016-09-01,22.7,1006.4,76.2,2.15,202.1,492.0
Gangneung,2016-10-01,19.2,1005.9,71.3,2.22,212.5,369.5
Gangneung,2016-11-01,11.3,1007.5,77.3,1.95,126.1,384.0
Gangneung,2016-12-01,6.9,1001.4,67.2,2.64,146.7,347.1
Gangneung,2017-01-01,8.1,1000.5,66.5,2.62,55.1,315.5
Gangneung,2017-02-01,8.4,999.2,53.9,1.63,148.2,216.7
Gangneung,2017-03-01,12.1,996.5,57.2,2.05,160.4,163.1
Gangneung,2017-04-01,17.9,998.0,50.2,1.91,95.5,287.2
Gangneung,2017-05-01,21.8,1003.1,61.6,1.69,163.7,412.9
Gangneung,2017-06-01,28.1,1003.3,56.9,2.29,204.1,445.9
Gangneung,2017-07-01,28.4,1001.6,67.8,2.44,274.4,475.5
Gangneung,2017-08-01,23.6,1003.5,72.7,2.41,233.7,532.8
Gangneung,2017-09-01,23.3,1004.4,70.6,2.49,256.1,561.2
Gangneung,2017-10-01,18.5,1001.3,84.7,2.57,216.3,405.7
Gangneung,2017-11-01,12.8,998.3,77.6,2.66,179.7,495.4
Gangneung,2017-12-01,9.3,1003.6,72.7,2.45,148.3,230.0
Gangneung,2018-01-01,8.9,1008.8,63.3,2.66,118.1,250.9
Gangneung,2018-02-01,8.6,1007.3,60.0,3.17,100.9,137.3
Gangneung,2018-03-01,14.1,1006.4,50.7,2.86,199.5,266.1
Gangneung,2018-04-01,17.2,997.4,49.2,2.51,159.5,291.5
Gangneung,2018-05-01,24.5,1001.4,53.9,1.61,173.5,403.4
Gangneung,2018-06-01,26.6,1004.3,55.8,1.94,214.0,551.3
Gangneung,2018-07-01,27.8,1003.4,66.6,2.45,252.4,561.6
Gangneung,2018-08-01,28.1,1003.6,76.4,2.11,259.3,563.2
Gangneung,2018-09-01,25.2,1004.3,76.1,2.76,236.9,585.2
Gangneung,2018-10-01,18.1,1005.3,79.7,2.08,211.7,488.3
Gangneung,2018-11-01,16.5,1003.6,79.1,2.25,188.1,352.1
Gangneung,2018-12-01,9.7,1003.1,75.4,3.48,159.9,266.8
Gangneung,2019-01-01,6.5,1003.4,65.4,2.06,101.1,257.6
Gangneung,2019-02-01,9.9,1001.4,56.4,2.92,135.8,256.3
Gangneung,2019-03-01,17.5,999.7,52.5,2.28,97.6,264.2
Gangneung,2019-04-01,18.8,1011.5,51.7,1.66,124.9,205.6
Gangneung,2019-05-01,22.8,1005.8,56.5,2.0,180.9,410.4
Gangneung,2019-06-01,26.4,1000.5,56.2,2.44,225.1,554.9
Gangneung,2019-07-01,27.3,1005.8,63.5,2.92,276.4,503.9
Gangneung,2019-08-01,26.7,1003.0,65.8,2.43,220.1,514.0
Gangneung,2019-09-01,23.2,1004.8,76.4,1.89,271.5,500.5
Gangneung,2019-10-01,17.9,1008.0,75.9,1.84,233.6,519.5
Gangneung,2019-11-01,10.5,999.3,79.5,2.67,120.5,462.0
Gangneung,2019-12-01,9.9,994.0,72.9,2.46,145.1,338.7
Gangneung,2020-01-01,9.0,1005.2,63.4,2.65,150.7,251.7
Gangneung,2020-02-01,7.3,1008.6,52.1,2.84,126.9,247.5
Gangneung,2020-03-01,14.1,1005.1,49.1,2.88,117.4,314.0
Gangneung,2020-04-01,22.1,1000.9,51.9,1.29,139.1,332.2
Gangneung,2020-05-01,26.1,1006.0,55.5,2.95,181.4,429.8
Gangneung,2020-06-01,26.2,1004.4,58.1,2.86,210.3,347.0
Gangneung,2020-07-01,24.4,999.2,68.5,2.5,231.1,526.4
Gangneung,2020-08-01,31.1,1008.4,74.0,1.58,235.3,628.7
Gangneung,2020-09-01,22.7,1005.5,78.0,2.39,236.9,484.8
Gangneung,2020-10-01,18.2,1009.4,82.5,2.26,222.0,641.9
Gangneung,2020-11-01,14.8,998.9,78.2,2.35,219.8,378.7
Gangneung,2020-12-01,10.1,1002.4,70.7,1.79,137.1,351.0
Gangneung,2021-01-01,5.4,995.9,64.8,1.74,135.8,190.9
Gangneung,2021-02-01,8.6,1001.8,61.1,2.51,102.6,168.0
Gangneung,2021-03-01,13.5,999.7,52.7,1.72,92.0,310.7
Gangneung,2021-04-01,16.8,995.7,44.9,3.02,139.1,316.1
Gangneung,2021-05-01,26.4,996.6,61.0,1.99,182.6,385.4
Gangneung,2021-06-01,25.1,1003.0,58.5,2.01,228.5,539.2
Gangneung,2021-07-01,27.4,1000.5,67.9,2.62,211.3,531.3
Gangneung,2021-08-01,28.3,997.5,64.3,2.34,210.3,537.8
Gangneung,2021-09-01,22.3,1001.0,75.4,2.53,246.6,501.4
Gangneung,2021-10-01,14.7,1010.5,76.0,2.49,209.1,484.0
Gangneung,2021-11-01,13.2,1006.6,75.4,2.71,161.0,465.4
Gangneung,2021-12-01,9.1,1005.8,75.3,2.8,162.1,383.1
Gangneung,2022-01-01,10.4,1001.1,63.9,2.49,148.2,251.5
Gangneung,2022-02-01,9.4,1002.7,53.0,2.31,75.0,333.6
Gangneung,2022-03-01,12.9,1007.9,52.7,2.5,131.7,233.6
Gangneung,2022-04-01,16.6,1005.1,55.2,2.27,169.7,307.3
Gangneung,2022-05-01,22.5,996.2,56.4,2.23,127.9,423.3
Gangneung,2022-06-01,23.3,1004.3,64.2,2.93,252.1,558.0
Gangneung,2022-07-01,28.3,1011.7,66.6,2.99,236.5,551.5
Gangneung,2022-08-01,25.4,998.8,75.8,2.37,248.5,607.6
Gangneung,2022-09-01,23.1,999.5,77.6,2.59,249.8,459.4
Gangneung,2022-10-01,20.0,1000.8,80.6,2.36,215.1,560.7
Gangneung,2022-11-01,11.4,996.8,70.7,2.16,170.2,288.6
Gangneung,2022-12-01,9.3,1000.8,76.8,3.01,155.3,276.9
Gangneung,2023-01-01,10.2,1003.9,64.9,2.38,128.2,312.5
Gangneung,2023-02-01,8.8,1005.9,57.0,2.01,96.1,306.8
Gangneung,2023-03-01,15.6,999.0,63.0,2.91,107.4,242.9
Gangneung,2023-04-01,18.4,999.0,54.6,2.26,114.3,284.6
Gangneung,2023-05-01,22.4,1005.6,52.3,2.21,192.1,385.6
Gangneung,2023-06-01,29.2,1007.5,60.6,2.8,192.7,400.9
Gangneung,2023-07-01,25.2,997.6,58.3,2.37,222.8,639.8
Gangneung,2023-08-01,27.5,1006.1,68.0,2.73,269.7,592.7
Gangneung,2023-09-01,23.6,1002.6,75.0,2.37,203.5,547.4
Gangneung,2023-10-01,18.2,1003.8,73.2,1.71,214.5,454.9
Gangneung,2023-11-01,11.6,998.7,71.0,3.09,168.4,398.5
Gangneung,2023-12-01,7.8,1000.2,75.9,2.07,105.6,371.2
Gangneung,2024-01-01,9.7,1005.1,67.6,1.75,130.9,308.9
Gangneung,2024-02-01,10.4,1000.7,62.1,2.19,142.2,187.5
Gangneung,2024-03-01,10.1,1007.4,57.3,2.3,123.9,218.5
Gangneung,2024-04-01,18.9,1009.1,49.5,2.6,176.6,333.1
Gangneung,2024-05-01,23.0,1008.8,53.0,2.09,167.1,466.0
Gangneung,2024-06-01,27.6,1001.6,56.7,2.75,185.5,438.7
Gangneung,2024-07-01,30.8,999.9,60.2,2.23,218.6,556.3
Gangneung,2024-08-01,24.3,996.6,74.0,2.67,214.2,580.6
Gangneung,2024-09-01,25.9,999.0,84.1,2.79,207.1,585.5
Gangneung,2024-10-01,18.9,1002.4,77.3,2.63,228.3,450.1
Gangneung,2024-11-01,12.1,1002.8,78.8,2.95,186.1,350.7
Gangneung,2024-12-01,9.2,997.7,67.9,2.09,226.5,244.8
Gangneung,2025-01-01,8.8,996.2,67.0,1.97,80.7,251.1
Gangneung,2025-02-01,7.2,1004.9,60.4,2.7,148.5,219.9
Gangneung,2025-03-01,13.8,1000.0,53.4,2.36,111.5,204.4
Gangneung,2025-04-01,19.6,1000.8,55.8,2.81,136.6,285.5
Gangneung,2025-05-01,24.8,1000.8,56.5,2.4,124.1,421.4
Gangneung,2025-06-01,29.2,999.7,62.2,1.89,193.9,449.4
Gangneung,2025-07-01,29.3,999.6,63.9,2.87,258.4,510.6
Gangneung,2025-08-01,23.8,1009.4,68.4,2.41,232.7,572.1
Gangneung,2025-09-01,25.6,998.0,79.5,2.28,169.1,428.2
Gangneung,2025-10-01,18.8,998.0,83.8,2.52,191.6,491.7
Gangneung,2025-11-01,15.3,1007.3,75.3,2.39,165.4,407.1
Gangneung,2025-12-01,8.1,1003.2,79.0,2.32,156.5,230.7
Seoul,2001-01-01,8.3,1006.1,69.8,2.38,187.8,215.0
Seoul,2001-02-01,7.4,1008.6,57.8,3.19,81.3,204.1
Seoul,2001-03-01,9.8,1012.9,57.2,2.23,131.0,303.4
Seoul,2001-04-01,17.0,998.2,45.8,2.56,130.9,299.8
Seoul,2001-05-01,24.2,1002.4,55.6,1.91,188.9,465.5
Seoul,2001-06-01,26.9,1007.7,58.7,2.04,197.7,502.1
Seoul,2001-07-01,28.8,1006.5,70.0,2.04,230.1,528.8
Seoul,2001-08-01,26.0,1007.4,69.9,3.39,244.3,562.6
Seoul,2001-09-01,23.4,1006.3,72.4,1.77,251.2,631.9
Seoul,2001-10-01,18.0,1001.2,80.7,2.49,196.9,461.8
Seoul,2001-11-01,11.1,1008.4,78.8,2.77,160.4,509.6
Seoul,2001-12-01,11.5,999.4,73.1,2.71,176.3,305.8
Seoul,2002-01-01,9.2,1004.5,62.2,3.05,147.5,261.4
Seoul,2002-02-01,8.3,1004.9,54.6,2.68,133.7,234.6
Seoul,2002-03-01,12.9,1006.0,55.9,2.42,112.4,212.5
Seoul,2002-04-01,20.0,1002.2,59.9,2.31,156.4,286.1
Seoul,2002-05-01,24.3,1003.9,55.4,2.57,176.6,363.5
Seoul,2002-06-01,30.9,1002.2,56.6,2.62,226.9,451.3
Seoul,2002-07-01,26.6,1006.9,60.8,2.79,232.9,602.5
Seoul,2002-08-01,28.0,998.6,72.3,2.12,254.1,621.4
Seoul,2002-09-01,21.4,997.2,70.6,2.43,202.4,548.9
Seoul,2002-10-01,15.9,1000.9,75.5,2.28,237.6,515.7
Seoul,2002-11-01,13.8,1003.5,73.5,2.68,154.4,461.0
Seoul,2002-12-01,7.2,1009.3,74.5,1.74,103.9,325.3
Seoul,2003-01-01,6.5,1006.1,60.5,2.22,165.8,179.6
Seoul,2003-02-01,8.6,1007.2,61.6,2.85,98.7,235.6
Seoul,2003-03-01,13.8,1006.8,49.9,2.86,126.9,159.8
Seoul,2003-04-01,17.4,999.6,58.8,2.44,122.7,329.8
Seoul,2003-05-01,22.2,1001.6,54.5,2.83,171.8,389.4
Seoul,2003-06-01,23.6,999.8,51.6,3.1,229.2,456.6
Seoul,2003-07-01,26.8,1001.0,68.8,2.31,238.9,526.2
Seoul,2003-08-01,25.7,1000.9,70.8,2.62,291.5,636.4
Seoul,2003-09-01,27.9,998.6,77.9,2.2,248.2,545.4
Seoul,2003-10-01,19.7,1007.6,74.7,1.76,202.2,499.9
Seoul,2003-11-01,14.5,1000.6,75.6,2.41,179.1,286.9
Seoul,2003-12-01,9.4,999.2,72.7,2.26,169.1,411.3
Seoul,2004-01-01,5.7,1005.9,65.6,2.43,138.5,293.7
Seoul,2004-02-01,8.8,1001.5,63.4,2.47,118.6,84.4
Seoul,2004-03-01,11.5,1002.3,54.7,2.45,121.7,151.9
Seoul,2004-04-01,17.1,1002.0,55.2,2.29,155.6,329.5
Seoul,2004-05-01,21.9,1000.9,54.5,2.2,153.2,296.4
Seoul,2004-06-01,25.0,1001.7,55.8,2.2,220.0,539.5
Seoul,2004-07-01,29.7,1009.2,67.5,2.38,177.1,434.5
Seoul,2004-08-01,26.1,1006.5,71.4,2.89,240.2,573.1
Seoul,2004-09-01,21.4,1005.0,76.7,2.72,191.8,640.1
Seoul,2004-10-01,18.2,1003.5,74.7,3.17,259.6,492.8
Seoul,2004-11-01,12.4,1007.3,73.9,2.38,140.5,442.3
Seoul,2004-12-01,10.5,999.7,71.8,2.71,152.5,225.2
Seoul,2005-01-01,5.8,996.1,69.8,2.77,89.4,225.9
Seoul,2005-02-01,10.2,1002.6,51.5,2.41,107.5,273.4
Seoul,2005-03-01,15.1,1004.3,57.2,2.31,97.7,186.8
Seoul,2005-04-01,18.4,1007.4,56.5,2.64,143.9,389.3
Seoul,2005-05-01,21.1,1004.7,54.0,1.99,192.8,316.4
Seoul,2005-06-01,28.4,1001.4,60.2,2.38,210.3,529.4
Seoul,2005-07-01,28.1,1008.9,61.8,1.87,193.5,549.2
Seoul,2005-08-01,26.4,997.3,72.6,2.27,261.6,531.1
Seoul,2005-09-01,23.6,1000.2,74.5,2.82,212.9,590.0
Seoul,2005-10-01,16.1,1002.2,80.2,2.56,224.5,440.4
Seoul,2005-11-01,13.2,1010.0,80.2,1.92,192.3,451.1
Seoul,2005-12-01,10.6,1001.0,70.8,2.54,154.7,343.5
Seoul,2006-01-01,9.0,1004.8,64.8,1.99,133.1,196.1
Seoul,2006-02-01,9.3,1002.0,60.6,2.23,105.7,113.5
Seoul,2006-03-01,14.5,1003.6,59.7,1.74,164.7,291.3
Seoul,2006-04-01,19.0,995.6,51.4,2.88,132.5,330.9
Seoul,2006-05-01,23.5,1002.6,58.3,2.42,156.8,473.6
Seoul,2006-06-01,27.8,1001.9,58.6,2.29,243.4,504.2
Seoul,2006-07-01,25.5,1001.6,62.7,2.97,222.1,637.9
Seoul,2006-08-01,28.9,1005.0,73.5,2.31,287.9,525.6
Seoul,2006-09-01,23.0,1002.2,76.5,2.4,204.4,451.8
